title,salary,position,working_life,education,company_name,company_type,financing_info,staff_numbers,recruiter_name,recruiter_job,release_time
数据分析专家,20k-40k,上海 闵行区 莘庄,5-10年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,方女士,招聘主管,暂无信息
Java开发专家（服务端）,25k-40k,上海 闵行区 莘庄,5-10年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,樊先生,招聘者,暂无信息
高级/资深Java开发,25k-40k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,刘先生,高级开发工程师,暂无信息
Java技术专家（单车业务）,35k-50k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,刘先生,高级开发工程师,暂无信息
web前端,20k-35k,上海 闵行区 莘庄,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,刘先生,高级开发工程师,暂无信息
前端技术专家,25k-40k,上海 闵行区 莘庄,3-5年,大专,哈啰出行,互联网,D轮及以上,1000-9999人,刘先生,高级开发工程师,暂无信息
web前端,20k-35k,上海 闵行区 莘庄,5-10年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,温先生,前端,暂无信息
Java资深开发工程师,20k-30k,上海 闵行区 莘庄,5-10年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,卢先生,高级技术经理,暂无信息
Android资深工程师,20k-30k,上海 闵行区 莘庄,5-10年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,卢先生,高级技术经理,暂无信息
iOS资深开发工程师,20k-30k,上海 闵行区 莘庄,5-10年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,卢先生,高级技术经理,暂无信息
iOS开发工程师,20k-40k,上海 闵行区 莘庄,1-3年,大专,哈啰出行,互联网,D轮及以上,1000-9999人,王先生,iOS 开发工程师,暂无信息
商业分析师,20k-40k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,薛女士,招聘者,暂无信息
工业设计师,20k-40k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,黄先生,前端研发,暂无信息
信息安全工程师,20k-40k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,黄先生,前端研发,暂无信息
大数据技术专家,20k-40k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,黄先生,前端研发,暂无信息
DBA,20k-40k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,黄先生,前端研发,暂无信息
数据算法工程师,20k-40k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,黄先生,前端研发,暂无信息
前端开发工程师,20k-40k,上海 闵行区 莘庄,1-3年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,孙先生,高级前端开发,暂无信息
前端工程师,20k-40k,上海 闵行区 莘庄,5-10年,大专,哈啰出行,互联网,D轮及以上,1000-9999人,刘先生,HR,暂无信息
Java开发工程师,25k-40k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,宋先生,软件开发,暂无信息
算法工程师,25k-50k,上海 闵行区 莘庄,经验不限,硕士,哈啰出行,互联网,D轮及以上,1000-9999人,富女士,资深招聘专员,暂无信息
Java专家,20k-40k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,富女士,资深招聘专员,暂无信息
hadoop大数据平台运维工程师,20k-40k,上海 闵行区 莘庄,3-5年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,富女士,资深招聘专员,暂无信息
机器学习,25k-50k,上海 闵行区 莘庄,经验不限,硕士,哈啰出行,互联网,D轮及以上,1000-9999人,富女士,资深招聘专员,暂无信息
Java技术负责人,30k-60k,上海 闵行区 莘庄,5-10年,本科,哈啰出行,互联网,D轮及以上,1000-9999人,富女士,资深招聘专员,暂无信息
